ticker,name,sector,thesis,catalysts,risk,institutional
LAZR,Luminar Technologies,autonomous_ai_hardware,"Lidar for autonomy, Volvo production win (EX90), Mercedes partnership","Volvo EX90 production ramp Q1 2025, new OEM partnerships","Dilution, cash burn $200M/yr, Tesla no-lidar thesis","Volvo strategic stake, ARK Autonomous (ARKQ)"
INVZ,Innoviz Technologies,autonomous_ai_hardware,"InnovizTwo lidar, BMW iX production, solid-state roadmap","BMW iX volume ramp, InnovizThree mass production 2025","OEM delays (VW postponed), gross margin pressure","ARK Autonomous (ARKQ), Fidelity"
OUST,Ouster,autonomous_ai_hardware,"Digital lidar for industrial/automotive, acquisition of Velodyne","Cost reductions post-merger, automotive design wins Q4","Integration execution, negative gross margins","ARK Autonomous (ARKQ), Vanguard"
CRNC,Cerence,autonomous_ai_hardware,"AI voice for 400M+ cars, Microsoft Nuance partnership","Edge AI pivot, new automotive platform wins","OEM headwinds (VW software delays), subscription transition","Wellington, Vanguard, Icahn 10% stake (activist)"
AEVA,Aeva Technologies,autonomous_ai_hardware,"4D lidar (velocity + 3D), Daimler Truck partnership","Daimler Truck production 2026, Atlas sensor launch","Cash burn, production delays, limited traction","ARK Autonomous (ARKQ), Sylebra Capital"
RKLB,Rocket Lab,space_economy,"#2 launch provider (behind SpaceX), Neutron rocket 2025, space systems","Neutron test flights Q2 2025, NASA missions, Electron cadence","SpaceX competition, Neutron development delays","ARK Space (ARKX), Vanguard, Baillie Gifford (early Tesla investor)"
ASTS,AST SpaceMobile,space_economy,"Direct-to-cell satellite (AT&T, Verizon, Vodafone partnerships)","BlueBird 1-5 launch Q4 2024, commercial service beta Q1 2025","Technology unproven at scale, capital intensive ($1B+ needed)","AT&T 9% stake, Vodafone strategic, ARK Space (ARKX)"
LUNR,Intuitive Machines,space_economy,"Lunar landers/services, NASA Artemis missions, first private moon landing","IM-2 mission Q1 2025, Artemis contracts, commercial payload","Mission failures (IM-1 tipped over), government customer concentration","ARK Space (ARKX), Cathie Wood ""conviction buy"""
SPIR,Spire Global,space_economy,"Space-based data (weather, AIS tracking), 100+ satellite constellation","Maritime AI contracts, weather forecasting for insurance","Low margins, commodity data business","ARK Space (ARKX), limited institutional"
PL,Planet Labs,space_economy,"Daily earth imagery (200+ satellites), agriculture/defense use cases","Defense contracts (Ukraine war demand), Pelican constellation","Cash burn, commercial customer churn","ARK Space (ARKX), Google early investor"
RDW,Redwire,space_economy,"Space infrastructure (solar arrays, 3D printing), ISS heritage","Lunar infrastructure for Artemis, Mars projects","Project-based revenue, government delays","ARK Space (ARKX), defense-focused funds"
BKSY,BlackSky Technology,space_economy,"Real-time geospatial intel, 14-satellite constellation, AI analytics","Defense/intel contract renewals, Gen-3 satellites Q1 2025","Government concentration (70%+), negative margins","ARK Space (ARKX), Mithril Capital (Peter Thiel)"
MNTS,Momentus,space_economy,"Space transportation/tugs (Vigoride), last-mile orbital delivery","Successful Vigoride missions 2025, commercial contracts","Execution issues (past delays), small cash balance","Retail heavy, limited institutional"
LLAP,Terran Orbital,space_economy,"Satellite manufacturing for DoD/commercial, Rivada Space contract","Rivada constellation production, defense awards","Lockheed Martin acquisition fell through, dilution risk","Lockheed Martin strategic stake, ARK Space (ARKX)"
ACHR,Archer Aviation,space_economy,"eVTOL (flying taxis), Midnight aircraft FAA certification path","FAA Part 135 certification Q2 2025, United Airlines order","Certification delays, infrastructure buildout, cash burn","United Airlines, Stellantis strategic stakes, ARK Space (ARKX)"
JOBY,Joby Aviation,space_economy,"eVTOL leader, Toyota partnership ($900M invested), Delta Air Lines MOU","Stage 4 FAA testing Q1 2025, NYC service announcement","Certification timeline (2025 optimistic), infrastructure","Toyota, Uber, ARK Space (ARKX), Fidelity"
LILM,Lilium,space_economy,"Electric jet eVTOL (7-seater), European focus, Saudi Arabia order","Flight testing completion Q4 2024, Saudi production facility","Cash crisis (needs funding), tech unproven, bankruptcy risk HIGH","Tencent, Baillie Gifford, ARK Space (ARKX)"
KOD,Kodiak Sciences,biotech_high_beta,"Retina therapeutics (wet AMD), tarcocimab trials, Bayer partnership","Tarcocimab Phase 3 data Q1 2025, FDA filing decision","Trial failure history (2021 setback), competitive (REGN, Roche)","Baker Bros (12%), ARK Genomic (ARKG), Fidelity"
AKRO,Akero Therapeutics,biotech_high_beta,"Efruxifermin for NASH (fatty liver disease), Phase 3 ongoing","HARMONY Phase 3 interim data Q2 2025, biopsy results","Competitive (MDGL, VKTX), liver biopsy endpoints challenging","RA Capital, Cormorant, ARK Genomic (ARKG)"
AKYA,Akoya Biosciences,biotech_high_beta,"Spatial biology tools (PhenoCycler), cancer research applications","New instrument launches Q1 2025, pharma partnerships","Capital equipment cycles, research budget cuts","ARK Genomic (ARKG), Wellington"
HALO,Halozyme Therapeutics,biotech_high_beta,"ENHANZE drug delivery platform, royalties from Roche/BMS/Pfizer","New partnerships Q4 2024, royalty ramp from approved drugs","Royalty model limits upside, patent expiration 2027","Wellington, Vanguard, BlackRock (large cap biotech)"
VRDN,Viridian Therapeutics,biotech_high_beta,"VRDN-001 for thyroid eye disease (TED), IGF-1R antagonist","Phase 3 THRIVE-2 data Q1 2025, BLA filing timeline","Competitive (IMCR Tepezza), TED small market ($2B)","RA Capital, Farallon, ARK Genomic (ARKG)"
URGN,UroGen Pharma,biotech_high_beta,"UGN-102 for low-grade bladder cancer, RTGel platform","ATLAS Phase 3 data Q2 2025, FDA approval decision","Narrow indication, reimbursement challenges","ARK Genomic (ARKG), Acuta Capital"
LQDA,Liquidia Technologies,biotech_high_beta,"YUTREPIA for pulmonary arterial hypertension, vs United Therapeutics","Patent litigation resolution 2025, market share gains","Patent lawsuit (UTHR), small patient population","ARK Genomic (ARKG), Broadfin Capital"
TLSA,Tiziana Life Sciences,biotech_high_beta,Foralumab for MS/Alzheimer's (intranasal anti-CD3),"INIMS trial data Q1 2025, Alzheimer's trial initiation","Early-stage, small company, dilution risk","Limited institutional, retail heavy"
PVLA,Palvella Therapeutics,biotech_high_beta,QTORIN rapamycin for microcystic lymphatic malformations,"Phase 2/3 data Q2 2025, orphan drug designation","Ultra-rare disease (small TAM), trial enrollment slow","RA Capital, Venrock"
OKYO,OKYO Pharma,biotech_high_beta,"OK-101 for dry eye disease, chemerin modulation","Phase 2 ELEMY data Q1 2025, partnering discussions","Dry eye crowded (OCUL, EYEG), partnership dependent",Limited institutional
IOBT,IO Biotech,biotech_high_beta,"Cancer vaccines (IO102/IO112), PD-L1 checkpoint modulation","Phase 2 melanoma data Q2 2025, combination trial starts","Early-stage, cancer vaccine skepticism","Novo Holdings (Novo Nordisk), Sunstone"
SPRO,Spero Therapeutics,biotech_high_beta,"Tebipenem for UTIs, oral carbapenem","FDA PDUFA date March 2025, commercial launch prep","Antibiotic reimbursement, limited peak sales ($200M)","ARK Genomic (ARKG), RA Capital"
VKTX,Viking Therapeutics,biotech_high_beta,"VK2809 (NASH), VK2735 (obesity GLP-1 oral)","VK2735 Phase 2 obesity data Q1 2025, licensing deals","GLP-1 competition (LLY, NVO), oral bioavailability questions","ARK Genomic (ARKG), Farallon, Foresite Capital"
CYTK,Cytokinetics,biotech_high_beta,"Aficamten for HCM (vs MYBPC3 mutation), cardiac myosin inhibitor","SEQUOIA-HCM Phase 3 data Q4 2024, NDA filing Q1 2025","BMS competing drug (camzyos), dosing complexity","Wellington, Vanguard, ARK Genomic (ARKG)"
NTLA,Intellia Therapeutics,biotech_high_beta,"In vivo CRISPR (NTLA-2001 for ATTR), Regeneron partnership","NTLA-2001 Phase 3 initiation Q1 2025, new programs","Gene editing safety, competition (CRSP, BEAM)","ARK Genomic (ARKG), Regeneron strategic stake"
BEAM,Beam Therapeutics,biotech_high_beta,"Base editing (precision CRISPR), sickle cell program","BEAM-101 sickle cell data Q2 2025, IND submissions","Editas patent dispute, early-stage tech","ARK Genomic (ARKG), Fidelity, ARCH Venture"
FLNC,Fluence Energy,green_energy_grid,"Energy storage (Siemens/AES JV), AI data center backup power","Q4 bookings (data center deals), IRA credits, grid projects","Supply chain (battery cells), project delays","Siemens 25%, AES 25%, Vanguard"
STEM,Stem Inc,green_energy_grid,"AI-driven energy storage software (Athena), behind-meter focus","Data center partnerships Q1 2025, Athena AI upgrades","Cash burn, hardware commoditization","ARK Next Gen (ARKW), Fidelity"
AMSC,American Superconductor,green_energy_grid,"Grid resiliency (ship defense, wind), superconductor wires","Navy contracts Q4 2024, wind energy rebound","Lumpy project revenue, China competition","ARK Next Gen (ARKW), Wellington"
NXT,Nextracker,green_energy_grid,"Solar tracking systems (#1 market share), IRA beneficiary","Q1 guidance (solar project pipeline), margin expansion","Solar panel tariffs, Flex acquisition integration","TPG (sponsor), Vanguard, BlackRock"
ARRY,Array Technologies,green_energy_grid,"Solar tracking (#2 to NXT), bifacial module optimization","U.S. solar project acceleration, international expansion","NXT competition, commodity steel prices","Oaktree Capital (sponsor), Vanguard"
SHLS,Shoals Technologies,green_energy_grid,"EBOS (electrical balance of systems) for solar, plug-and-play","Utility-scale solar ramp, data center solar co-location","Customer concentration, commodity pricing","Oaktree, BlackRock"
BE,Bloom Energy,green_energy_grid,"Solid oxide fuel cells for data centers (24/7 power), hydrogen pivot","SK ecoplant Korea deal, data center wins (MSFT, GOOGL)","Negative FCF, hydrogen unproven, dilution","Vanguard, BlackRock, SK Group strategic"
PLUG,Plug Power,green_energy_grid,"Green hydrogen ecosystem (electrolyzers, fuel cells, fueling)","IRA hydrogen credits, Louisiana plant startup Q1 2025","Massive cash burn ($1B+/yr), dilution, customer losses (AMZN, WMT)","SK Group strategic, Vanguard (passive only)"
FCEL,FuelCell Energy,green_energy_grid,"Stationary fuel cells + carbon capture, long-duration storage","Toyota partnership, power purchase agreements","Dilution history, negative margins, bankruptcy watch","Limited institutional, retail speculation"
BLDP,Ballard Power Systems,green_energy_grid,"Heavy-duty fuel cells (trucks, buses, marine)","Weichai partnership China, European bus orders","Hydrogen infrastructure delay, BEV competition","Limited institutional, Canadian funds"
ENOV,Enovix,green_energy_grid,"Silicon anode batteries (3D architecture), IoT/wearables focus","Fab2 ramp Q1 2025, automotive customer announcements","Manufacturing scale-up, limited revenue ($10M TTM)","Intel Capital, Qualcomm Ventures, ARK Next Gen (ARKW)"
QS,QuantumScape,green_energy_grid,"Solid-state batteries (VW partnership), ceramic separator","QSE-5 24-layer cell validation Q4 2024, pilot line scale","Commercialization 2025 (was 2024), cash burn","VW 18% stake, ARK Next Gen (ARKW), Bill Gates"
SOFI,SoFi Technologies,fintech_crypto,"Digital bank (GAAP profitable Q3 2024), student loan refinancing","Member growth Q4, credit card launch, lending rebound","Credit losses, student loan pause extension","SoftBank (diluted to <5%), Vanguard"
UPST,Upstart Holdings,fintech_crypto,"AI lending platform, rate cut beneficiary (origination volume)","Q4 originations rebound, auto lending scale","Credit losses if recession, partner bank concentration","ARK Fintech (ARKF), Baillie Gifford"
AFRM,Affirm Holdings,fintech_crypto,"BNPL leader (Apple partnership), card launch (debit + credit)","Apple Pay Later integration, Affirm Card adoption","Credit losses, BNPL regulation, Apple competitive threat","Founders Fund, Lightspeed, ARK Fintech (ARKF)"
MQ,Marqeta,fintech_crypto,"Modern card issuing platform (Square, Uber, DoorDash)","New fintech launches, volume growth Q4","Square concentration (30%+), commoditization","Coatue, Lone Pine, ARK Fintech (ARKF)"
HOOD,Robinhood Markets,fintech_crypto,"Retail trading flow, crypto trading (Bitcoin, Ethereum)","Crypto wallet expansion, election volatility 2024/2025","PFOF regulation, crypto regulatory uncertainty","Andreessen Horowitz, Ribbit Capital, Sequoia"
CLSK,CleanSpark,fintech_crypto,"Bitcoin mining (efficient operations), renewables-focused","Bitcoin halving Apr 2024, facility expansion Georgia","Bitcoin price, energy costs, dilution","Limited institutional, retail heavy"
MARA,Marathon Digital,fintech_crypto,"Bitcoin mining scale (40 EH/s target), infrastructure plays","Facility buildout Q1 2025, Bitcoin halving effects","Bitcoin price, hosting costs, shareholder dilution","Vanguard (passive), BlackRock (iShares)"
RIOT,Riot Platforms,fintech_crypto,"Bitcoin mining + engineering services, Texas facilities","Rockdale expansion, hash rate growth Q4","Texas energy prices (ERCOT), Bitcoin correlation","Vanguard (passive), State Street"
COIN,Coinbase Global,fintech_crypto,Crypto infrastructure (exchange + custody + Base L2),"Bitcoin ETF trading fees, Base chain growth, staking revenue","SEC lawsuit, crypto winter, competition","ARK Innovation (ARKK), Vanguard, BlackRock"
ALKT,Alkami Technology,fintech_crypto,Digital banking cloud for credit unions/regional banks,"Customer additions Q4, ARPU expansion","Bank failures (regional banks), IT budget cuts","General Atlantic (sponsor), Vanguard"
DUOL,Duolingo,consumer_software,"Gamified language learning, AI tutor (GPT-4 integration)","Max tier adoption, international expansion, AI features","High valuation (15x sales), competition (Babbel, Busuu)","General Atlantic, Union Square Ventures"
ONON,On Holding,consumer_software,"Premium running shoes (Roger Federer), DTC + wholesale","U.S. growth (Under Armour share gain), innovation pipeline","Nike/Adidas competition, tariffs, wholesale inventory","Roger Federer (investor), BlackRock"
CELH,Celsius Holdings,consumer_software,"Energy drinks (Pepsi distribution), fitness positioning vs Red Bull","International expansion, Pepsi incentives, new flavors","Valuation correction (down 50% from highs), inventory destocking","Fidelity, Wellington, ARK Innovation (ARKK)"
ELF,e.l.f. Beauty,consumer_software,"Gen Z cosmetics (viral TikTok), prestige quality at mass prices","International expansion, skincare line growth","Teen spending slowdown, China manufacturing risk","Wellington, Fidelity, ARK Innovation (ARKK)"
AMPL,Amplitude,consumer_software,"Digital analytics (product analytics), freemium model","Enterprise customer wins, AI-powered insights","Competition (DDOG, SNOW), slowing growth","Sequoia, Benchmark"
PATH,UiPath,consumer_software,"Enterprise RPA (robotic process automation), AI automation pivot","AI agent integration Q1 2025, Oracle partnership","Microsoft Power Automate competition, macro softness","Accel, Sequoia, ARK Innovation (ARKK)"
S,SentinelOne,consumer_software,"AI-powered cybersecurity (EDR/XDR), vs CrowdStrike","Scalyr acquisition integration, ARR growth >30%","CRWD competition, macro IT spend cuts","Tiger Global, Insight Partners, ARK Fintech (ARKF)"
ESTC,Elastic,consumer_software,Search + observability + security (Elastic Cloud),"GenAI search use cases, ESRE (Elastic Security)","Amazon OpenSearch competition, customer churn","Benchmark, Index Ventures"
DOCN,DigitalOcean,consumer_software,"Cloud for SMBs/developers, simplicity vs AWS complexity","AI/ML platform launch Q4, customer ARPU expansion","AWS/GCP aggressive SMB pricing, limited moat","Access Industries (sponsor), Vanguard"
APP,AppLovin,consumer_software,"Mobile adtech + gaming (AXON AI engine), ROAS optimization","AXON 2.0 rollout Q1 2025, e-commerce ad expansion","Privacy regulation (ATT), gaming cyclicality","KKR (sponsor), Tiger Global"
VRNS,Varonis Systems,consumer_software,"Data security (DLP), SaaS transition, M365 integration","SaaS ARR growth 50%+, DDSPM platform adoption","Competition (PANW, CRWD), billings lumpiness","Wellington, Vanguard"
